mysql> select left(substr(source,8),instr(substr(source,8),"/")) dom, count(*) as cnt from sources s, inv_so i where i.so_id=s.so_id group by dom order by cnt desc limit 200;
+---------------------------------+--------+
| dom                             | cnt    |
+---------------------------------+--------+
| localhost/                     | 910582 |
| www.pressetext.at/              | 743690 |
| www.news.ch/                    | 743331 |
| www.20min.ch/                   | 694800 |
| www.az.com.na/                  | 494969 |
| www.oe-journal.at/              | 481613 |
| www.beobachter.ch/              | 437028 |
| www.bernerzeitung.ch/           | 435313 |
| www.noz.de/                     | 427833 |
| www.gea.de/                     | 424781 |
| www.freitag.de/                 | 377290 |
| www.goettinger-tageblatt.de/    | 376030 |
| www.nachrichten.at/             | 365354 |
| www.general-anzeiger-bonn.de/   | 357452 |
| www.haz.de/                     | 335932 |
| www.fr-online.de/               | 325083 |
| www.net-news-global.de/         | 310651 |
| www.tagesanzeiger.ch/           | 305133 |
| www.nzz.ch/                     | 297058 |
| www.pattayablatt.com/           | 295899 |
| www.handelszeitung.ch/          | 289742 |
| www.epochtimes.de/              | 286284 |
| www.noows.de/                   | 283120 |
| www.sauerlandkurier.de/         | 280921 |
| www.derbund.ch/                 | 271218 |
| www.neues-deutschland.de/       | 265949 |
| www.otz.de/                     | 265351 |
| www.alsfelder-allgemeine.de/    | 262329 |
| www.radio.cz/                   | 261268 |
| www.oe24.at/                    | 253865 |
| www.lippische-wochenschau.de/   | 247966 |
| www.aktuell.ru/                 | 245933 |
| www.solidaritaet.com/           | 245093 |
| www.profil.at/                  | 236267 |
| www.falter.at/                  | 221379 |
| www.bilanz.ch/                  | 218091 |
| www.bild.de/                    | 215931 |
| www.taz.de/                     | 213524 |
| www.sn-online.de/               | 202684 |
| www.sueddeutsche.de/            | 198661 |
| www.radiobremen.de/             | 193269 |
| www.mdr.de/                     | 192702 |
| www.appenzell24.ch/             | 192161 |
| de.news.yahoo.com/              | 185000 |
| www.bkz-online.de/              | 184299 |
| www.sat1.de/                    | 181294 |
| www.ksta.de/                    | 180252 |
